,toponym,pid,type,scale
3127,Butchers Creek,17659,stream,3
3128,Butchers Creek,17657,stream,3
3129,Butchers Creek,17658,stream,3
3130,Butchers Dam,17660,lake,4
3131,Butchers Gully,17663,locality,4
3132,Butchers Gully,17661,gorge(s),5
3133,Butchers Gully,17662,gorge(s),5
3134,Butchers Point,17664,point,4
3135,Butchers Point,699,point,4
3136,Butchers Spur,17665,ridge(s),4
3137,Butcher Track,698,trail,3
3138,Bute,17666,mountain,5
3139,Bute Island,17667,island,4
3140,Bute Stream,700,stream,3
3141,Butland Creek,17668,stream,3
3142,Butler Bay,17669,bay,3
3143,Butler Creek,701,stream,3
3144,Butler Downs,702,plain(s),3
3145,Butler Point,17670,point,4
3146,Butler River,17673,stream,3
3147,Butler River South Branch,17674,stream,3
3148,Butler Saddle,703,pass,4
3149,Butlers Bush,55134,forest(s),2
3150,Butlers Creek,17677,stream,3
3151,Butlers Creek,17676,stream,3
3152,Butlers 'V' Hut,17679,historical site,5
3153,Buttars Peak,706,hill,5
3154,Buttercup Lake,707,lake,4
3155,Butterfield Beach,708,beach,3
3156,Butterfield Point,49442,point,4
3157,Butterfly Creek,17681,stream,3
3158,Butterfly Creek,709,stream,3
3159,Button Peak,17682,peak,5
3160,Buttress,17683,hill,5
3161,Buttress Point,17684,point,4
3162,Buttress Spur,17685,ridge(s),4
3163,Buttress Stream,710,stream,3
3164,Butt Stream,705,stream,3
3165,Buxton Creek,17686,stream,3
3166,Byford Creek,17688,stream,3
3167,Byles Stream,711,stream,3
3168,Bypass Stream,712,stream,3
3169,Byrons Monument,17690,historical site,5
3170,Byron Stream,17689,stream,3
3171,Bywash Creek,17691,stream,3
3172,Cabbage Point,17693,point,4
3173,Cabbage Tree Gully,714,gorge(s),5
3174,Cabbage Tree Gully,17694,gorge(s),5
3175,Cabbage Tree Point,17695,point,4
3176,Cabbage Tree Valley,17696,gorge(s),5
3177,Caberfeidh,17698,populated place,4
3178,Caberfeidh,17697,hill,5
3179,Cabin Creek,17699,stream,3
3180,Cabin Pass Rapids,17700,stream,3
3181,Cabin Stream,716,stream,3
3182,Cable Bay,17703,bay,3
3183,Cable Bay,17704,bay,3
3184,Cable Bay,17701,bay,3
3185,Cable Bay,17705,bay,3
3186,Cable Bay,17702,bay,3
3187,Cable Creek,17706,stream,3
3188,Cabot Ridge,17707,ridge(s),4
3189,Cache Creek,17708,stream,3
3190,Cache Stream,17709,stream,3
3191,Cactus Bay,17710,bay,3
3192,Caddon Burn,17711,stream,3
3193,Cadigan Creek,17712,stream,3
3194,Cadigan Stream,17713,stream,3
3195,Cadman Stream,17714,stream,3
3196,Cadogan Peak,17715,hill,5
3197,Cadwallo Stream,717,stream,3
3198,Caesar Creek,718,stream,3
3199,Caesar Knob,17716,hill,5
3200,Caesars Hill,719,hill,5
3201,Cahill Glacier,720,glacier(s),4
3202,Cain Flat,721,plain(s),3
3203,Cain Glacier,722,glacier(s),4
3204,Cairn,17719,hill,5
3205,Cairn,17718,hill,5
3206,Cairnbrae,17727,populated place,4
3207,Cairn Creek,17720,stream,3
3208,Cairn Creek,723,stream,3
3209,Cairn Gully,17721,gorge(s),5
3210,Cairnhill,17728,hill,5
3211,Cairn Hill,17722,hill,5
3212,Cairn Hill,17723,mountain,5
3213,Cairn Hill,57157,hill,5
3214,Cairnmuir Flats,17729,plain(s),3
3215,Cairnmuir Gully,17730,gorge(s),5
3216,Cairnmuir Hill,17731,hill,5
3217,Cairn Peak,17725,hill,5
3218,Cairn Peak,17724,hill,5
3219,Cairn Ridge,17726,ridge(s),4
3220,Cairn Ridge,724,ridge(s),4
3221,Calder Creek,17733,stream,3
3222,Calderkin,17734,hill,5
3223,Caldervale,17735,locality,4
3224,Calderwood Peninsula,17736,point,4
3225,Caleb Ridge,17737,ridge(s),4
3226,Caledonian Creek,17739,stream,3
3227,Caledonian Creek,17740,stream,3
3228,Caledonian Creek,17738,stream,3
3229,Caledonian Terrace,17741,plain(s),3
3230,Calf Creek,17742,stream,3
3231,Calf Island,17743,island,4
3232,Calf Paddock,725,plain(s),3
3233,Calf Saddle,726,pass,4
3234,Callaghans,17744,locality,4
3235,Callaghans Creek,17745,stream,3
3236,Callaghans Creek,17746,stream,3
3237,Callery Creek,17747,stream,3
3238,Callery Flat,17748,plain(s),3
3239,Callery Glacier,17749,glacier(s),4
3240,Callery River,17750,stream,3
3241,Callery Saddle,17751,pass,4
3242,Callery Spur,17752,ridge(s),4
3243,Calliope Bank,14355,bank(s),4
3244,Calliope Creek,17754,stream,3
3245,Calliope Island,17755,island,4
3246,Calliope Saddle,17756,pass,4
3247,Calm Bay,17757,bay,3
3248,Calm Peak,17758,hill,5
3249,Calphurnia Peak,17759,hill,5
3250,Camberley,17761,section of populated place,3
3251,Camborne,728,section of populated place,3
3252,Cambrians,17763,locality,4
3253,Cambridge,17764,populated place,4
3254,Cambridge Creek,17765,stream,3
3255,Camden,17766,hill,5
3256,Camelback,17769,hill,5
3257,Camel Back,729,hill,5
3258,Camel Backs,17767,mountains,2
3259,Camelhead,17770,hill,5
3260,Camelot River,17771,stream,3
3261,Camel Point,17768,point,4
3262,Camels Hump,17772,hill,5
3263,Camels Hump,12097,hill,5
3264,Camera Flat,17773,plain(s),3
3265,Camera Gully,730,gorge(s),5
3266,Cameron Col,731,pass,4
3267,Cameron Creek,17777,stream,3
3268,Cameron Creek,17779,stream,3
3269,Cameron Creek,17776,stream,3
3270,Cameron Creek,17778,stream,3
3271,Cameron Creek,17780,stream,3
3272,Cameron Flat,732,plain(s),3
3273,Cameron Flat,55366,plain(s),3
3274,Cameron Glacier,17783,glacier(s),4
3275,Cameron Gully,17784,gorge(s),5
3276,Cameron Hill,17785,hill,5
3277,Cameron Mountains,17786,mountains,2
3278,Cameron River,17787,stream,3
3279,Camerons,17791,populated place,4
3280,Camerons Bluff,734,cliff(s),4
3281,Camerons Creek,736,stream,3
3282,Camerons Creek,735,stream,3
3283,Camerons Creek,17793,stream,3
3284,Camerons Creek,17794,stream,3
3285,Camerons Lookout,17795,mountain,5
3286,Cameron Stream,17790,stream,3
3287,Cameron Stream,17788,stream,3
3288,Cameron Stream,17789,stream,3
3289,Cameron Stream,733,stream,3
3290,Camlet Creek,17796,stream,3
3291,Camp Armstrong,7752,building(s),5
3292,Camp Basin,738,pan,4
3293,Camp Bay,739,bay,3
3294,Camp Bay,740,bay,3
3295,Camp Bay,17802,bay,3
3296,Camp Bay,17799,bay,3
3297,Camp Bay,17800,bay,3
3298,Camp Bay,17801,bay,3
3299,Camp Bay,49726,bay,3
3300,Camp Bay,17805,bay,3
3301,Camp Bay,17804,bay,3
3302,Camp Bay,17797,bay,3
3303,Camp Bay,17798,bay,3
3304,Campbell Creek,17869,stream,3
3305,Campbell Creek,17872,stream,3
3306,Campbell Creek,17871,stream,3
3307,Campbell Creek,17870,stream,3
3308,Campbell Creek,17875,stream,3
3309,Campbell Creek,17873,stream,3
3310,Campbell Creek,17876,stream,3
3311,Campbell Creek,745,stream,3
3312,Campbell Creek,746,stream,3
3313,Campbell Creek,17874,stream,3
3314,Campbell Island,55335,island,4
3315,Campbell Pass,17877,pass,4
3316,Campbell Range,17879,mountain,5
3317,Campbells Bay,749,locality,4
3318,Campbells Bay,56119,beach,3
3319,Campbells Beach,17883,beach,3
3320,Campbells Creek,17884,stream,3
3321,Campbells Creek,17887,stream,3
3322,Campbells Creek,17888,stream,3
3323,Campbells Creek,17886,stream,3
3324,Campbells Creek,17885,stream,3
3325,Campbells Saddle,17890,pass,4
3326,Campbells Stream,17891,stream,3
3327,Campbell Stream,17880,stream,3
3328,Campbell Stream,17881,stream,3
3329,Campbell Stream,748,stream,3
3330,Camp Cove,49499,cove(s),4
3331,Camp Cove,49605,cove(s),4
3332,Camp Creek,17825,stream,3
3333,Camp Creek,17821,stream,3
3334,Camp Creek,17828,stream,3
3335,Camp Creek,17831,stream,3
3336,Camp Creek,17811,stream,3
3337,Camp Creek,17808,stream,3
3338,Camp Creek,17812,stream,3
3339,Camp Creek,17809,stream,3
3340,Camp Creek,17815,stream,3
3341,Camp Creek,17816,stream,3
3342,Camp Creek,17818,stream,3
3343,Camp Creek,17819,stream,3
3344,Camp Creek,17830,stream,3
3345,Camp Creek,17820,stream,3
3346,Camp Creek,17822,stream,3
3347,Camp Creek,17823,stream,3
3348,Camp Creek,17832,stream,3
3349,Camp Creek,17826,stream,3
3350,Camp Creek,17827,stream,3
3351,Camp Creek,17813,stream,3
3352,Camp Creek,17829,stream,3
3353,Camp Creek,17814,stream,3
3354,Camp Creek,17810,stream,3
3355,Camp Creek,17817,stream,3
3356,Camp Creek,17824,stream,3
3357,Camp Creek,741,stream,3
3358,Camp Gully,17833,gorge(s),5
3359,Camp Hill,17839,hill,5
3360,Camp Hill,17838,hill,5
3361,Camp Hill,17840,hill,5
3362,Camp Hill,17835,mountain,5
3363,Camp Hill,17836,mountain,5
3364,Camp Hill,17837,mountain,5
3365,Camp Hill,17842,hill,5
3366,Camp Hill,17843,hill,5
3367,Camp Hill,742,hill,5
3368,Camp Hill,17841,hill,5
3369,Camp-Hill Creek,17892,stream,3
3370,Camping Bay,750,bay,3
3371,Camping Creek,17893,stream,3
3372,Camping Gully,17894,gorge(s),5
3373,Camping Stream,17895,stream,3
3374,Campion,17896,hill,5
3375,Camp Lake,17844,lake,4
3376,Camp Oven Creek,17845,stream,3
3377,Camp Oven Dome,17846,hill,5
3378,Camp Oven Falls,17847,waterfall(s),5
3379,Camp Peaks,17848,hill,5
3380,Camp Point,17849,point,4
3381,Camp Rocks,17850,rock,5
3382,Camp Saddle,17851,pass,4
3383,Campsaddle Creek,17897,stream,3
3384,Camp Site Creek,17852,stream,3
3385,Camp Spur,17853,ridge(s),4
3386,Camp Spur,17854,ridge(s),4
3387,Camp Stream,17856,stream,3
3388,Camp Stream,17864,stream,3
3389,Camp Stream,17862,stream,3
3390,Camp Stream,17861,stream,3
3391,Camp Stream,17860,stream,3
3392,Camp Stream,17858,stream,3
3393,Camp Stream,17859,stream,3
3394,Camp Stream,17857,stream,3
3395,Camp Stream,17866,stream,3
3396,Camp Stream,17855,stream,3
3397,Camp Stream,17867,stream,3
3398,Camp Stream,17863,stream,3
3399,Camp Stream,49727,stream,3
3400,Camp Stream,743,stream,3
3401,Camp Stream,17865,stream,3
3402,Camp Stream,13687,stream,3
3403,Camp Stream,744,stream,3
3404,Camp Valley,17868,locality,4
3405,Cam River,17760,stream,3
3406,Cam River,55246,stream,3
3407,Cam River/Ruataniwha,7305,stream,3
3408,Canaan Landing,751,farmstead,5
3409,Canadian Creek,17898,stream,3
3410,Canadian Creek,752,stream,3
3411,Canadian Flat,17899,plain(s),3
3412,Canary Creek,17900,stream,3
3413,Canary Creek,17901,stream,3
3414,Canary Stream,17902,stream,3
3415,Canaurd Hill,17903,hill,5
3416,Canavans Knob,17904,hill,5
3417,Candle Creek,17905,stream,3
3418,Candlelight Creek,17907,stream,3
3419,Candlelight Creek,17906,stream,3
3420,Candlestick Stream,753,stream,3
3421,Candys Bend,754,road,3
3422,Candys Creek,755,stream,3
3423,Cannel Creek,17909,stream,3
3424,Cannibal Bay,17910,bay,3
3425,Cannibal Cove,17911,bay,3
3426,Cannibal Creek,17912,stream,3
3427,Cannibal Gorge,17913,gorge(s),5
3428,Cannington,17914,locality,4
3429,Cannington Creek,756,stream,3
3430,Cannington Stream,757,stream,3
3431,Cannon Hill,17916,hill,5
3432,Cannon Point,17918,point,4
3433,Cannon Point,758,hill,5
3434,Cannon Point,17917,hill,5
3435,Cannons Creek,17920,section of populated place,3
3436,Cannons Creek,759,section of populated place,3
3437,Cannons Head,17921,hill,5
3438,Canoe Bay,17923,bay,3
3439,Canoe Bay,17922,bay,3
3440,Canoe Cove,17924,bay,3
3441,Canoe Creek,17925,stream,3
3442,Canoe Point,17927,point,4
3443,Canoe Stream,17928,stream,3
3444,Canoe Stream,17929,stream,3
3445,Canon Creek,17930,stream,3
3446,Canon Peak,17931,hill,5
3447,Canopy Bluff,17932,cliff(s),4
3448,Canterbury Bight,17933,bay,3
3449,Canterbury Gully,17935,gorge(s),5
3450,Canterbury Spur,17936,ridge(s),4
3451,Canterbury Spur,10851,ridge(s),4
3452,Canton Stream,17937,stream,3
3453,Cantwell Stream,58472,stream,3
3454,Cantys Stream,761,stream,3
3455,Canvastown,17938,locality,4
3456,Canyon Creek,17940,stream,3
3457,Canyon Creek,17941,stream,3
3458,Canyon Creek,762,stream,3
3459,Canyon Creek,763,stream,3
3460,Cap Burn,17942,stream,3
3461,Cap Creek,17943,stream,3
3462,Cape Barrier,17944,point,4
3463,Cape Bennett,59432,cape,5
3464,Cape Bennett,49486,cape,5
3465,Cape Brett,58121,cape,5
3466,Cape Buttercup,17945,point,4
3467,Cape Campbell,17946,cape,5
3468,Cape Campbell,55660,cape,5
3469,Cape Colville,17947,point,4
3470,Cape Defiance,17948,cliff(s),4
3471,Cape Egmont,17949,cape,5
3472,Cape Farewell,17950,point,4
3473,Cape Foulwind,17951,locality,4
3474,Cape Foulwind,17952,cape,5
3475,Cape Fournier,13841,cape,5
3476,Cape Home,17953,point,4
3477,Cape Horn,17954,point,4
3478,Cape Horn,17955,point,4
3479,Cape Horn,17956,point,4
3480,Cape Horn,17958,point,4
3481,Cape Horn,17957,cape,5
3482,Cape Jackson,17959,cape,5
3483,Cape Josephine,17960,point,4
3484,Cape Karikari,765,cape,5
3485,Cape Kidnappers,17962,cape,5
3486,Cape Koamaru,766,point,4
3487,Cape Lambert,17964,point,4
3488,Cape Lovitt,49506,cape,5
3489,Cape Morton Jones,17966,cape,5
3490,Cape Palliser,767,cape,5
3491,Cape Pattisson,13957,cape,5
3492,Cape Providence,17967,cape,5
3493,Cape Reinga,17968,locality,4
3494,Cape River,17970,stream,3
3495,Cape Rodney,17971,cape,5
3496,Caper Torrent,17982,stream,3
3497,Cape Runaway,17972,cape,5
3498,Cape Saunders,17973,point,4
3499,Cape Soucis,769,cape,5
3500,Cape Stephens,17975,cape,5
3501,Cape Terawhiti,770,cape,5
3502,Cape Thomson,49528,cape,5
3503,Cape Three Points,17977,point,4
3504,Cape Turnagain,17978,cape,5
3505,Cape Wanbrow,56135,cape,5
3506,Cape Wanbrow,17979,cape,5
3507,Cape Wiwiki,17980,point,4
3508,Cape Young,14092,cape,5
3509,Cape Zach,17981,point,4
3510,Caples Creek,17983,stream,3
3511,Caples Creek,17984,stream,3
3512,Caples River,17985,stream,3
3513,Capleston,17986,locality,4
3514,Capsize Point,17987,point,4
3515,Capstan Rock,49736,rock,5
3516,Captain Bouganville Monument,17988,historical site,5
3517,Captain Cook's Anchorage,17989,historical site,5
3518,Captain Cook's Monument,17990,historical site,5
3519,Captain Creek,17993,stream,3
3520,Captain Creek,17991,stream,3
3521,Captain Creek,17992,stream,3
3522,Captains Creek,771,stream,3
3523,Captains Gully,772,gorge(s),5
3524,Captains Peak,17995,hill,5
3525,Caput Creek,17996,stream,3
3526,Carbonate Creek,17997,stream,3
3527,Card Creek,17998,stream,3
3528,Cardiac Creek,773,stream,3
3529,Cardiff,17999,populated place,4
3530,Cardinal Stream,18001,stream,3
3531,Cardrona,18002,populated place,4
3532,Cardrona Company Water Race,18003,canal,4
3533,Cardrona River,18004,stream,3
3534,Carew,18005,locality,4
3535,Carew Bay,18006,bay,3
3536,Carew Creek,18007,stream,3
3537,Carews Peak,18008,peaks,5
3538,Carey Bay,18010,bay,3
3539,Carey Bay,18009,bay,3
3540,Careys Bay,18011,locality,4
3541,Careys Creek,18012,stream,3
3542,Cargo Creek,18013,stream,3
3543,Cariboo Creek,776,stream,3
3544,Cariboo Creek,18014,stream,3
3545,Caribou Creek,18015,stream,3
3546,Caribou Terrace,18016,plain(s),3
3547,Carina Rock,777,hill,5
3548,Carkeek,18017,hill,5
3549,Carkeek Ridge,778,ridge(s),4
3550,Carl Creek,18019,stream,3
3551,Carl Creek,18018,stream,3
3552,Carleton,18021,locality,4
3553,Carley Creek,18022,stream,3
3554,Carl Spur,18020,ridge(s),4
3555,Carls Ridge,18023,ridge(s),4
3556,Carluke,18024,locality,4
3557,Carlyle Stream,18025,stream,3
3558,Carmel Burn,779,stream,3
3559,Carmichael Creek,18026,stream,3
3560,Carmichael Plateau,18027,plain(s),3
3561,Carmichaels Creek,18028,stream,3
3562,Carmichaels Spur,18029,ridge(s),4
3563,Carmodys Drain,18030,canal,4
3564,Carnarvon,18032,farmstead,5
3565,Carn Brea,18031,peak,5
3566,Carneys Creek,18033,stream,3
3567,Carney Stream,780,stream,3
3568,Carnley Harbour,57449,strait,4
3569,Caroline,18034,locality,4
3570,Caroline Bay,18036,bay,3
3571,Caroline Bay,18035,bay,3
3572,Caroline Burn,18037,stream,3
3573,Caroline Creek,18038,stream,3
3574,Caroline Glacier,18039,glacier(s),4
3575,Caroline Peak,18040,hill,5
3576,Caroline Point,781,point,4
3577,Caroline Stream,782,stream,3
3578,Caroline Stream,18041,stream,3
3579,Caroline Terrace,18042,plain(s),3
3580,Caron Stream,18043,stream,3
3581,Carr Creek,18044,stream,3
3582,Carrel Glacier,18045,glacier(s),4
3583,Carriage Drive,18046,gorge(s),5
3584,Carriage Drive,18047,hill,5
3585,Carrick Range,18048,mountains,2
3586,Carrick Range Water Race,18049,canal,4
3587,Carrick River,784,stream,3
3588,Carricktown,18051,locality,4
3589,Carrie Falls,18052,waterfall(s),5
3590,Carrington,18053,locality,4
3591,Carrington Creek,785,stream,3
3592,Carrington Gorge,786,gorge(s),5
3593,Carrington Peak,18054,hill,5
3594,Carrington Ridge,788,ridge(s),4
3595,Carrington Ridge,787,ridge(s),4
3596,Carrion Hill,18055,hill,5
3597,Carrol Creek,18056,stream,3
3598,Carson Creek,18057,stream,3
3599,Carsons Rock,18059,rock,5
3600,Carswell,18060,locality,4
3601,Carter Creek,18061,stream,3
3602,Carter Passage,18062,strait,4
3603,Carter Ridge,18063,ridge(s),4
3604,Carter Ridge,10864,ridge(s),4
3605,Carters Beach,18065,populated place,4
3606,Carters Beach,18064,beach,3
3607,Carters Beach,59197,locality,4
3608,Carters Creek,18067,stream,3
3609,Carters Creek,18066,stream,3
3610,Carters Gully,18068,gorge(s),5
3611,Carters Knob,18069,hill,5
3612,Carters Mill,49739,populated place,4
3613,Carters Saddle,18070,pass,4
3614,Carterton,18071,populated place,4
3615,Carton Creek,18072,stream,3
3616,Carton Creek,18073,stream,3
3617,Cascada Bay,790,bay,3
3618,Cascade Basin,18075,cove(s),4
3619,Cascade Bay,18076,bay,3
3620,Cascade Bay,791,bay,3
3621,Cascade Cove,18077,cove(s),4
3622,Cascade Creek,792,stream,3
3623,Cascade Creek,18079,locality,4
3624,Cascade Creek,18080,locality,4
3625,Cascade Creek,18088,stream,3
3626,Cascade Creek,18084,stream,3
3627,Cascade Creek,18083,stream,3
3628,Cascade Creek,18078,stream,3
3629,Cascade Creek,18085,stream,3
3630,Cascade Creek,18082,stream,3
3631,Cascade Creek,18081,stream,3
3632,Cascade Creek,18086,stream,3
3633,Cascade Creek,18087,stream,3
3634,Cascade Falls,18089,waterfall(s),5
3635,Cascade Glacier,56369,glacier(s),4
3636,Cascade Glacier,49011,glacier(s),4
3637,Cascade Glacier,18090,glacier(s),4
3638,Cascade Glen,18091,gorge(s),5
3639,Cascade Gorge,13826,gorge(s),5
3640,Cascade Gorge,793,gorge(s),5
3641,Cascade Hill,18093,hill,5
3642,Cascade Peak,59192,hill,5
3643,Cascade Plateau,18094,plain(s),3
3644,Cascade Point,18095,point,4
3645,Cascade Range,18096,mountains,2
3646,Cascade River,18097,stream,3
3647,Cascade Rock,18098,rock,5
3648,Cascade Saddle,18099,pass,4
3649,Cascade Stream,18101,stream,3
3650,Cascade Stream,18104,stream,3
3651,Cascade Stream,18100,stream,3
3652,Cascade Stream,18103,stream,3
3653,Cascade Stream,18102,stream,3
3654,Cascade Stream,794,stream,3
3655,Cascade Stream,795,stream,3
3656,Casebrook,18105,section of populated place,3
3657,Casey Creek,18106,stream,3
3658,Casey Saddle,796,pass,4
3659,Caseys Flats,800,plain(s),3
3660,Casey Stream,797,stream,3
3661,Casey Tarn,798,lake,4
3662,Cashmere,18109,farmstead,5
3663,Cashmere,18108,section of populated place,3
3664,Cashmere Bay,18110,bay,3
3665,Cashmere Island,18111,island,4
3666,Cashmere Stream,18112,stream,3
3667,Cashs Flat,18113,plain(s),3
3668,Casnell Island,802,island,4
3669,Casolis Creek,18114,stream,3
3670,Caspers Flat,18115,plain(s),3
3671,Cass,18116,populated place,4
3672,Cassandra Col,805,pass,4
3673,Cass Bay,49740,locality,4
3674,Cass Bay,18117,locality,4
3675,Cassel Flat,18121,plain(s),3
3676,Cassel Hill,18122,hill,5
3677,Cassel Stream,806,stream,3
3678,Cass Hill,803,hill,5
3679,Cassino Peak,807,hill,5
3680,Cass Peak,18118,peak,5
3681,Cass River,18120,stream,3
3682,Cass River,18119,stream,3
3683,Cass Saddle,804,pass,4
3684,Castaly River,18123,stream,3
3685,Castle Basin,808,pan,4
3686,Castlecliff,18158,populated place,4
3687,Castle Cliffs,809,cliff(s),4
3688,Castle Craig,810,hill,5
3689,Castle Downs Swamp,18126,swamp,4
3690,Castle Head,18127,point,4
3691,Castlehill,18159,locality,4
3692,Castle Hill,18137,hill,5
3693,Castle Hill,18133,mountain,5
3694,Castle Hill,18134,mountain,5
3695,Castle Hill,18135,mountain,5
3696,Castle Hill,18136,mountain,5
3697,Castle Hill,18131,hill,5
3698,Castle Hill,18130,mountain,5
3699,Castle Hill,18128,mountain,5
3700,Castle Hill,18129,hill,5
3701,Castle Hill,18132,hill,5
3702,Castle Hill Peak,18138,hill,5
3703,Castle Hill Village,811,locality,4
3704,Castle Island,13661,island,4
3705,Castle Island,18139,island,4
3706,Castle Mount,18140,hill,5
3707,Castle Peak,18141,hill,5
3708,Castle Peak,18142,rock,5
3709,Castlepoint,59422,locality,4
3710,Castlepoint,815,locality,4
3711,Castle Point,55360,point,4
3712,Castle Point,49526,point,4
3713,Castlepoint Stream,18161,stream,3
3714,Castle River,18145,stream,3
3715,Castle River,18144,stream,3
3716,Castle River,812,stream,3
3717,Castlerock,18162,locality,4
3718,Castle Rock,18151,rock,5
3719,Castle Rock,18153,rock,5
3720,Castle Rock,18154,rock,5
3721,Castle Rock,18147,rock,5
3722,Castle Rock,18146,hill,5
3723,Castle Rock,18149,rock,5
3724,Castle Rock,18150,rock,5
3725,Castle Rock,12195,rock,5
3726,Castle Rock,49741,rock,5
3727,Castle Rock,813,rock,5
3728,Castle Rock,18148,mountain,5
3729,Castle Rocks,18155,rock,5
3730,Castle Stream,18157,stream,3
3731,Castle Stream,18156,stream,3
3732,Castle Stream,814,stream,3
3733,Castoff Point,18163,point,4
3734,Castor Bay,56120,populated place,4
3735,Castor Bay,817,locality,4
3736,Castor Creek,18165,stream,3
3737,Castor Stream,18166,stream,3
3738,Castries Glacier,18167,glacier(s),4
3739,Catalina Bay,18176,bay,3
3740,Cataract Creek,18178,stream,3
3741,Cataract Creek,18179,stream,3
3742,Cataract Stream,821,stream,3
3743,Catchpool Spur,822,ridge(s),4
3744,Catchpool Stream,823,stream,3
3745,Cat Creek,18172,stream,3
3746,Cat Creek,18169,stream,3
3747,Cat Creek,18170,stream,3
3748,Cat Creek,18171,stream,3
3749,Cathedral Caves,18180,cave(s),5
3750,Cathedral Cove,824,bay,3
3751,Cathedral Creek,825,stream,3
3752,Cathedral Gully,826,gorge(s),5
3753,Cathedral Peaks,18181,mountains,2
3754,Cathedral Peaks,12197,mountains,2
3755,Cathedral Rocks,12198,hill,5
3756,Cathedral Rocks,828,hill,5
3757,Catherine Cove,18183,bay,3
3758,Catherine Island,18184,island,4
3759,Catherine Stream,18185,stream,3
3760,Catherine Stream,829,stream,3
3761,Cat Hill,18173,hill,5
3762,Catlins Cone,18188,hill,5
3763,Catlins Heads,830,point,4
3764,Catlins Lake,18189,lake,4
3765,Catlins River,18190,stream,3
3766,Catlin Stream,18187,stream,3
3767,Cat O'Nine Tails,818,stream,3
3768,Caton Peak,18191,hill,5
3769,Cat Point,819,point,4
3770,Catsears Saddle,831,pass,4
3771,Catseye Bay,18192,bay,3
3772,Catseye Saddle,18193,pass,4
3773,Cat Stream,820,stream,3
3774,Cattle Basin,832,pan,4
3775,Cattle Bay,13690,bay,3
3776,Cattle Creek,833,farmstead,5
3777,Cattle Creek,18195,stream,3
3778,Cattle Creek,18196,stream,3
3779,Cattle Creek,18194,locality,4
3780,Cattle Creek,18197,stream,3
3781,Cattle Flat,18200,locality,4
3782,Cattle Flat,18198,plain(s),3
3783,Cattle Flat,18199,plain(s),3
3784,Cattle Gully,18201,gorge(s),5
3785,Cattle Gully,834,gorge(s),5
3786,Cattlemount,18208,hill,5
3787,Cattlepeak Stream,838,stream,3
3788,Cattle Ridge,18202,ridge(s),4
3789,Cattle Ridge,18203,ridge(s),4
3790,Cattle Rustlers Pool,836,lake,4
3791,Cattle Stream,18206,stream,3
3792,Cattle Stream,837,stream,3
3793,Cattle Valley,18207,locality,4
3794,Cauldron Creek,18209,stream,3
3795,Caulfield Spur,18210,ridge(s),4
3796,Caution Creek,18211,stream,3
3797,Cavalier Creek,839,stream,3
3798,Cavalli Islands,18212,island,4
3799,Cavalli Passage,18213,strait,4
3800,Cave,18214,populated place,4
3801,Cave Bay,18216,bay,3
3802,Cave Bay,18215,bay,3
3803,Cave Brook,18217,stream,3
3804,Cave Camp,18218,cave(s),5
3805,Cave Creek,18220,stream,3
3806,Cave Creek,18222,stream,3
3807,Cave Creek,18221,stream,3
3808,Cave Creek,18219,stream,3
3809,Cave Creek,55247,stream,3
3810,Cave Creek/Kotihotiho,7306,stream,3
3811,Cave Creek North,18223,stream,3
3812,Cave Creek Resurgence,840,cave(s),5
3813,Cave Hill,18224,hill,5
3814,Cavellia Head,18231,point,4
3815,Cavendish,18232,locality,4
3816,Cavendish Hills,18233,mountains,2
3817,Cavendish River,18234,stream,3
3818,Caven Point,842,point,4
3819,Cave Point,18227,point,4
3820,Cave Point,18228,point,4
3821,Cave Point,18225,point,4
3822,Cave Point,18226,point,4
3823,Cave Point,13594,point,4
3824,Caverhill,18235,farmstead,5
3825,Cavern Creek,18238,stream,3
3826,Cavern Creek,18237,stream,3
3827,Cavern Creek,18236,stream,3
3828,Cavern Head,18239,cape,5
3829,Cave Rock,49545,rock,5
3830,Cave Rock,18229,rock,5
3831,Caversham,18240,populated place,4
3832,Caves Bluff,843,cliff(s),4
3833,Caves Creek,18241,stream,3
3834,Caves Stream,844,stream,3
3835,Caves Stream,18242,stream,3
3836,Cave Stream,58473,stream,3
3837,Cave Stream,18230,stream,3
3838,Cave Stream,841,stream,3
3839,Cave Stream,13691,stream,3
3840,Cecilia Creek,18245,stream,3
3841,Cecilia Sudden Bay,18246,bay,3
3842,Cecil Peak,18244,hill,5
3843,Cedar Creek,18250,stream,3
3844,Cedar Creek,18251,stream,3
3845,Cedar Creek,18247,stream,3
3846,Cedar Creek,18249,stream,3
3847,Cedar Creek,18252,stream,3
3848,Cedar Creek,845,stream,3
3849,Cedar Creek,18248,stream,3
3850,Cedar Creek Saddle,18253,pass,4
3851,Cedar Flat,18254,plain(s),3
3852,Cedar Hill,18255,hill,5
3853,Cedric Stream,846,stream,3
3854,Celeborn Creek,847,stream,3
3855,Celmisia Flat,18256,plain(s),3
3856,Cement Creek,18257,stream,3
3857,Cemetery Creek,18259,stream,3
3858,Cemetery Creek,18260,stream,3
3859,Cemetery Creek,849,stream,3
3860,Cemetery Hill,18261,hill,5
3861,Cemetery Island,18262,island,4
3862,Cemetery Point,49743,point,4
3863,Cemetery Point,49744,point,4
3864,Cemetery Point,58120,point,4
3865,Cemetery Point,13829,point,4
3866,Cemetery Stream,850,stream,3
