,toponym,pid,type,scale
36034,Waipapa Stream,46547,stream,3
36035,Waipapa Stream,46548,stream,3
36036,Waipapa Stream,46564,stream,3
36037,Waipapa Stream,46576,stream,3
36038,Waipapa Stream,46536,stream,3
36039,Waipapa Stream,46539,stream,3
36040,Waipapa Stream,6772,stream,3
36041,Waipapa Stream,6773,stream,3
36042,Waipapataniwha Stream,46585,stream,3
36043,Waipara,46586,populated place,4
36044,Waiparaheke Stream,46594,stream,3
36045,Waiparapara Marae,46596,reservation,4
36046,Waiparapara Stream,46597,stream,3
36047,Waiparariki Stream,46599,stream,3
36048,Waiparariki Stream,46598,stream,3
36049,Waipara River,46587,stream,3
36050,Waipara River,46588,stream,3
36051,Waipara River Middle Branch,46589,stream,3
36052,Waipara River North Branch,46590,stream,3
36053,Waipara River South Branch,46591,stream,3
36054,Waipara Saddle,6775,pass,4
36055,Waipara Stream,46592,stream,3
36056,Waipara Stream,46593,stream,3
36057,Waiparau Head,46600,point,4
36058,Waipareira Bay,6778,bay,3
36059,Waipareira Stream,46602,stream,3
36060,Waipareira Stream,46603,stream,3
36061,Waiparera,46604,locality,4
36062,Waiparera,46605,locality,4
36063,Waiparera Creek,46606,stream,3
36064,Waiparera Stream,46607,stream,3
36065,Waiparera Stream,46608,stream,3
36066,Waiparera Stream,6780,stream,3
36067,Waiparera Stream,6779,stream,3
36068,Waipare Stream,6776,stream,3
36069,Waipare Stream,6777,stream,3
36070,Waiparetau Stream,46609,stream,3
36071,Waipari Gorge,46610,gorge(s),5
36072,Waipari Gorge,46611,gorge(s),5
36073,Waipari Stream,46615,stream,3
36074,Waipari Stream,46612,stream,3
36075,Waipari Stream,46613,stream,3
36076,Waipari Stream,46614,stream,3
36077,Waipari Stream,46616,stream,3
36078,Waipari Stream,51145,stream,3
36079,Waipari Stream,51146,stream,3
36080,Waiparu,6781,hill,5
36081,Waiparu,59157,locality,4
36082,Waiparu,46617,hill,5
36083,Waiparuparu Stream,46620,stream,3
36084,Waiparuparu Stream,46619,stream,3
36085,Waiparu Stream,46618,stream,3
36086,Waipa Stream,46481,stream,3
36087,Waipa Stream,46483,stream,3
36088,Waipa Stream,46482,stream,3
36089,Waipati Beach,46621,beach,3
36090,Waipati Creek,46622,stream,3
36091,Waipatiki,46624,populated place,4
36092,Waipatiki,51148,stream,3
36093,Waipatiki Stream,46625,stream,3
36094,Waipatiki Stream,46626,stream,3
36095,Waipatoa,46627,hill,5
36096,Waipatu,46628,locality,4
36097,Waipatukahu Stream,46630,stream,3
36098,Waipatukahu Stream,46629,stream,3
36099,Waipatukahu Stream,51149,stream,3
36100,Waipatukaka Stream,46631,stream,3
36101,Waipatukakohu Stream,46632,stream,3
36102,Waipaturawa Stream,46633,stream,3
36103,Waipaua,14068,stream,3
36104,Waipaua Stream,6783,stream,3
36105,Waipaua Stream,46634,stream,3
36106,Waipaua Stream,14067,stream,3
36107,Waipaukaka Stream,46635,stream,3
36108,Waipa Valley,46484,locality,4
36109,Waipawa,46637,populated place,4
36110,Waipawa,46636,populated place,4
36111,Waipawa Hill,46638,hill,5
36112,Waipawamate Stream,46644,stream,3
36113,Waipawa River,46639,stream,3
36114,Waipawa Saddle,46640,pass,4
36115,Waipawa Stream,46642,stream,3
36116,Waipawa Stream,46643,stream,3
36117,Waipawa Stream,46641,stream,3
36118,Waipawa Stream,6784,stream,3
36119,Waipehi Stream,46645,stream,3
36120,Waipeka Creek,46646,stream,3
36121,Waipekakoura River,46647,stream,3
36122,Waipia Stream,46648,stream,3
36123,Waipiata,46649,populated place,4
36124,Wai Pingao Stream,6608,stream,3
36125,Waipingau,46650,hill,5
36126,Waipipi,46651,mountain,5
36127,Waipipi,46652,locality,4
36128,Waipipi Creek,46653,stream,3
36129,Waipipipi Stream,46655,stream,3
36130,Waipipi Stream,46654,stream,3
36131,Waipirita Stream,46656,stream,3
36132,Waipiro Bay,46658,locality,4
36133,Waipiro Bay,6785,bay,3
36134,Waipiro Bay,46659,locality,4
36135,Waipiropiro Hot Spring,46662, spring(s),5
36136,Waipiropiro Stream,46663,stream,3
36137,Waipiro Stream,46660,stream,3
36138,Waipiro Stream,46661,stream,3
36139,Waipoaka Stream,46665,stream,3
36140,Waipoa Stream,46664,stream,3
36141,Waipohatu Stream,46667,stream,3
36142,Waipohotu Stream,46669,stream,3
36143,Waipohutukawa Bay,46670,bay,3
36144,Waipokaia Stream,46671,stream,3
36145,Waipokapoka Stream,46672,stream,3
36146,Waipokara Stream,46673,stream,3
36147,Waipokau Stream,46674,stream,3
36148,Waiponamu Stream,46675,stream,3
36149,Waiponga Stream,46676,stream,3
36150,Waipopo,46677,locality,4
36151,Waipori,46678,populated place,4
36152,Waipori Falls,46679,populated place,4
36153,Waipori River,46680,stream,3
36154,Waipori Stream,46681,stream,3
36155,Waiporutu Stream,46682,stream,3
36156,Waipotipoti Stream,46683,stream,3
36157,Waipoto Stream,46684,stream,3
36158,Waipoua Forest,46685,forest(s),2
36159,Waipoua Forest,55009,forest(s),2
36160,Waipoua Forest,10183,forest(s),2
36161,Waipoua River,46686,stream,3
36162,Waipoua River,46687,stream,3
36163,Waipoua Settlement,46688,locality,4
36164,Waipoua Stream,46689,stream,3
36165,Waipounamu,46691,locality,4
36166,Waipouwerawera Stream,46692,stream,3
36167,Waipu,46693,populated place,4
36168,Waipuahu Stream,46699,stream,3
36169,Waipuakakahau Stream,46700,stream,3
36170,Waipuakakaho Stream,46701,stream,3
36171,Waipuakakaho Stream,46702,stream,3
36172,Waipu Bay,6786,bay,3
36173,Waipu Caves,46694,locality,4
36174,Waipu Cove,46696,bay,3
36175,Waipu Cove,46695,bay,3
36176,Waipuehu Stream,46704,stream,3
36177,Waipuehu Stream,46703,stream,3
36178,Waipuha Point,46705,point,4
36179,Waipuia Point,46707,point,4
36180,Waipui Stream,46706,stream,3
36181,Waipukakahau Stream,46709,stream,3
36182,Waipuka Stream,46708,stream,3
36183,Waipukenui Stream,46710,stream,3
36184,Waipuku,46711,locality,4
36185,Waipukurau,46713,populated place,4
36186,Waipukurau Marae,46714,reservation,4
36187,Waipuku Stream,46712,stream,3
36188,Waipu Lagoons,46697,lake,4
36189,Waipumaranga Stream,46715,stream,3
36190,Waipuna,46717,hill,5
36191,Waipuna,46716,hill,5
36192,Waipuna,46719,locality,4
36193,Waipuna,46718,locality,4
36194,Waipuna Bay,6789,bay,3
36195,Waipuna Bay,6788,bay,3
36196,Waipuna Bay,7499,bay,3
36197,Waipuna Creek,46723,stream,3
36198,Waipuna Creek,46724,stream,3
36199,Waipuna Creek,46722,stream,3
36200,Waipuna Creek Left Branch,46725,stream,3
36201,Waipuna Creek Middle Branch,46726,stream,3
36202,Waipuna Creek Right Branch,46727,stream,3
36203,Waipuna Pa,46728,historical site,5
36204,Waipuna Saddle,46729,pass,4
36205,Waipuna Stream,46731,stream,3
36206,Waipuna Stream,46730,stream,3
36207,Waipuna Stream,46735,stream,3
36208,Waipuna Stream,46733,stream,3
36209,Waipuna Stream,46736,stream,3
36210,Waipuna Stream,46734,stream,3
36211,Waipuna Stream,46732,stream,3
36212,Waipuna Stream,6790,stream,3
36213,Waipunga Falls,46738,waterfall(s),5
36214,Waipungapunga Stream,46742,stream,3
36215,Waipungapunga Stream,46743,stream,3
36216,Waipunga River,46739,stream,3
36217,Waipunga Stream,46741,stream,3
36218,Waipunga Stream,46740,stream,3
36219,Waipupu Stream,46745,stream,3
36220,Waipupu Stream,46744,stream,3
36221,Waipura,46746,hill,5
36222,Waipurapura Stream,46747,stream,3
36223,Waipurapura Stream,46748,stream,3
36224,Waipurikuri Stream,46749,stream,3
36225,Waipu River,46698,stream,3
36226,Waipuru,46750,locality,4
